Countries,all,male,female,gendergap,Δ 2019all,Δ 2019male,Δ 2019female,Δ 2019gen. gap,,,,,,,,,

Japan,84.62,81.64,87.74,6.10,0.26,0.23,0.29,0.06
Singapore,83.74,81.50,86.10,4.60,0.15,0.10,0.20,0.10
South Korea,83.43,80.50,86.50,6.00,0.20,0.20,0.20,0.00
Norway,83.21,81.60,84.90,3.30,0.25,0.30,0.20,−0.10
Australia,83.20,81.20,85.30,4.10,0.30,0.30,0.30,0.00
Switzerland,83.10,81.10,85.20,4.10,−0.80,−1.00,−0.60,0.40
Iceland,83.07,81.70,84.50,2.80,−0.10,0.00,−0.20,−0.20
Israel,82.70,80.70,84.80,4.10,−0.10,−0.30,0.10,0.40
Malta,82.65,80.80,84.60,3.80,−0.20,−0.40,0.00,0.40
Sweden,82.41,80.70,84.20,3.50,−0.70,−0.80,−0.60,0.20
Italy,82.34,80.10,84.70,4.60,−1.15,−1.30,−1.00,0.30
Spain,82.33,79.70,85.10,5.40,−1.50,−1.40,−1.60,−0.20
French Polynesia,82.22,79.32,85.83,6.51,−0.78,−1.38,0.23,1.61
Ireland,82.20,80.40,84.10,3.70,−0.50,−0.40,−0.60,−0.20
France,82.18,79.20,85.30,6.10,−0.65,−0.70,−0.60,0.10
Finland,82.13,79.40,85.00,5.60,0.15,0.10,0.20,0.10
New Zealand,82.06,80.30,83.90,3.60,0.35,0.30,0.40,0.10
Bermuda,82.06,78.30,86.00,7.70,0.19,0.17,0.21,0.04
Liechtenstein,81.81,80.10,83.60,3.50,−2.35,−2.50,−2.20,0.30
Canada,81.75,79.70,83.90,4.20,−0.30,−0.30,−0.30,0.00
Luxembourg,81.74,79.40,84.20,4.80,−0.90,−0.80,−1.00,−0.20
Denmark,81.55,79.60,83.60,4.00,0.10,0.10,0.10,0.00
Netherlands,81.41,79.80,83.10,3.30,−0.70,−0.80,−0.60,0.20
Cyprus,81.39,79.34,83.45,4.10,−0.01,−0.16,0.18,0.34
Channel Islands,81.26,79.14,83.39,4.25,−0.13,−0.12,−0.11,0.01
Austria,81.19,78.90,83.60,4.70,−0.70,−0.80,−0.60,0.20
Greece,81.09,78.60,83.70,5.10,−0.55,−0.60,−0.50,0.10
Portugal,80.98,78.00,84.10,6.10,−0.70,−0.70,−0.70,0.00
Germany,80.94,78.60,83.40,4.80,−0.35,−0.40,−0.30,0.10
United Kingdom,80.90,79.00,82.90,3.90,−0.30,−0.40,−0.20,0.20
New Caledonia,80.83,77.25,84.60,7.34,0.42,0.44,0.38,−0.06
Belgium,80.80,78.60,83.10,4.50,−1.20,−1.20,−1.20,0.00
Slovenia,80.53,77.80,83.40,5.60,−1.00,−0.90,−1.10,−0.20
Maldives,79.88,78.85,81.27,2.42,−0.24,−0.47,0.11,0.58
Chile,79.38,76.75,82.04,5.30,−0.95,−1.15,−0.67,0.48
Costa Rica,79.28,76.75,81.91,5.16,−0.15,−0.25,−0.04,0.21
Thailand,79.27,74.95,83.70,8.74,0.30,0.32,0.26,−0.05
Bahrain,79.17,78.17,80.43,2.27,−0.84,−0.81,−0.89,−0.07
Qatar,79.10,78.22,80.68,2.45,−1.89,−1.84,−1.97,−0.13
United Arab Emirates,78.95,77.46,81.11,3.65,−0.78,−0.71,−0.80,−0.08
Antigua and Barbuda,78.84,76.06,81.32,5.25,0.15,0.15,0.14,−0.01
Uruguay,78.43,74.69,81.91,7.22,0.92,1.11,0.61,−0.49
Estonia,78.35,74.20,82.70,8.50,−0.30,−0.30,−0.30,0.00
Czechia,78.23,75.30,81.30,6.00,−1.00,−1.10,−0.90,0.20
China,78.08,75.31,81.06,5.75,0.11,0.01,0.24,0.23
Puerto Rico,78.04,73.64,82.59,8.94,−1.02,−1.19,−0.87,0.32
Lebanon,77.80,75.64,79.89,4.26,−1.43,−1.61,−1.15,0.47
Croatia,77.72,74.70,80.90,6.20,−0.70,−0.70,−0.70,0.00
